Year,Region,Country,Country Code,Religion,Subreligion,Followers
1955,North America,Cuba,CUB,Christianity,Protestant,242266
1960,North America,Cuba,CUB,Christianity,Protestant,265000
1965,North America,Cuba,CUB,Christianity,Protestant,265000
1970,North America,Cuba,CUB,Christianity,Protestant,238062
1975,North America,Cuba,CUB,Christianity,Protestant,260000
1980,North America,Cuba,CUB,Christianity,Protestant,437580
1985,North America,Cuba,CUB,Christianity,Protestant,403920
1990,North America,Cuba,CUB,Christianity,Protestant,424960
1995,North America,Cuba,CUB,Christianity,Protestant,436160
2000,North America,Cuba,CUB,Christianity,Protestant,500000
2005,North America,Cuba,CUB,Christianity,Protestant,562150
2010,North America,Cuba,CUB,Christianity,Protestant,550000
1945,North America,Haiti,HAI,Christianity,Protestant,310000
1950,North America,Haiti,HAI,Christianity,Protestant,310000
1955,North America,Haiti,HAI,Christianity,Protestant,321500
1960,North America,Haiti,HAI,Christianity,Protestant,333000
1965,North America,Haiti,HAI,Christianity,Protestant,344911
1970,North America,Haiti,HAI,Christianity,Protestant,400073
1975,North America,Haiti,HAI,Christianity,Protestant,464056
1980,North America,Haiti,HAI,Christianity,Protestant,574900
1985,North America,Haiti,HAI,Christianity,Protestant,610000
1990,North America,Haiti,HAI,Christianity,Protestant,730500
1995,North America,Haiti,HAI,Christianity,Protestant,745110
2000,North America,Haiti,HAI,Christianity,Protestant,822200
2005,North America,Haiti,HAI,Christianity,Protestant,941000
2010,North America,Haiti,HAI,Christianity,Protestant,976083
1945,North America,Dominican Republic,DOM,Christianity,Protestant,31680
1950,North America,Dominican Republic,DOM,Christianity,Protestant,33440
1955,North America,Dominican Republic,DOM,Christianity,Protestant,40952
1960,North America,Dominican Republic,DOM,Christianity,Protestant,48465
1965,North America,Dominican Republic,DOM,Christianity,Protestant,50250
1970,North America,Dominican Republic,DOM,Christianity,Protestant,406200
1975,North America,Dominican Republic,DOM,Christianity,Protestant,516670
1980,North America,Dominican Republic,DOM,Christianity,Protestant,151000
1985,North America,Dominican Republic,DOM,Christianity,Protestant,109072
1990,North America,Dominican Republic,DOM,Christianity,Protestant,285000
1995,North America,Dominican Republic,DOM,Christianity,Protestant,788700
2000,North America,Dominican Republic,DOM,Christianity,Protestant,743538
2005,North America,Dominican Republic,DOM,Christianity,Protestant,1010238
2010,North America,Dominican Republic,DOM,Christianity,Protestant,1493497
1960,North America,Jamaica,JAM,Christianity,Protestant,1113072
1965,North America,Jamaica,JAM,Christianity,Protestant,1116720
1970,North America,Jamaica,JAM,Christianity,Protestant,1161798
1975,North America,Jamaica,JAM,Christianity,Protestant,1164819
1980,North America,Jamaica,JAM,Christianity,Protestant,1167840
1985,North America,Jamaica,JAM,Christianity,Protestant,1657000
1990,North America,Jamaica,JAM,Christianity,Protestant,1335978
1995,North America,Jamaica,JAM,Christianity,Protestant,1422741
2000,North America,Jamaica,JAM,Christianity,Protestant,1509505
2005,North America,Jamaica,JAM,Christianity,Protestant,1622752
2010,North America,Jamaica,JAM,Christianity,Protestant,1736000
1960,North America,Trinidad and Tobago,TRI,Christianity,Protestant,79520
1965,North America,Trinidad and Tobago,TRI,Christianity,Protestant,93020
1970,North America,Trinidad and Tobago,TRI,Christianity,Protestant,106520
1975,North America,Trinidad and Tobago,TRI,Christianity,Protestant,125460
1980,North America,Trinidad and Tobago,TRI,Christianity,Protestant,144400
1985,North America,Trinidad and Tobago,TRI,Christianity,Protestant,153140
1990,North America,Trinidad and Tobago,TRI,Christianity,Protestant,216270
1995,North America,Trinidad and Tobago,TRI,Christianity,Protestant,255117
2000,North America,Trinidad and Tobago,TRI,Christianity,Protestant,293965
2005,North America,Trinidad and Tobago,TRI,Christianity,Protestant,279692
2010,North America,Trinidad and Tobago,TRI,Christianity,Protestant,365100
1970,North America,Barbados,BAR,Christianity,Protestant,50582
1975,North America,Barbados,BAR,Christianity,Protestant,49601
1980,North America,Barbados,BAR,Christianity,Protestant,46620
1985,North America,Barbados,BAR,Christianity,Protestant,67230
1990,North America,Barbados,BAR,Christianity,Protestant,77536
1995,North America,Barbados,BAR,Christianity,Protestant,87557
2000,North America,Barbados,BAR,Christianity,Protestant,97578
2005,North America,Barbados,BAR,Christianity,Protestant,99456
2010,North America,Barbados,BAR,Christianity,Protestant,101335
1980,North America,Dominica,DMA,Christianity,Protestant,4640
1985,North America,Dominica,DMA,Christianity,Protestant,5000
1990,North America,Dominica,DMA,Christianity,Protestant,10600
1995,North America,Dominica,DMA,Christianity,Protestant,10900
2000,North America,Dominica,DMA,Christianity,Protestant,15200
2005,North America,Dominica,DMA,Christianity,Protestant,13075
2010,North America,Dominica,DMA,Christianity,Protestant,10950
1975,North America,Grenada,GRN,Christianity,Protestant,9800
1980,North America,Grenada,GRN,Christianity,Protestant,11130
1985,North America,Grenada,GRN,Christianity,Protestant,10000
1990,North America,Grenada,GRN,Christianity,Protestant,14287
1995,North America,Grenada,GRN,Christianity,Protestant,15403
2000,North America,Grenada,GRN,Christianity,Protestant,27491
2005,North America,Grenada,GRN,Christianity,Protestant,20600
2010,North America,Grenada,GRN,Christianity,Protestant,23852
1980,North America,St. Lucia,SLU,Christianity,Protestant,16481
1985,North America,St. Lucia,SLU,Christianity,Protestant,16000
1990,North America,St. Lucia,SLU,Christianity,Protestant,15532
1995,North America,St. Lucia,SLU,Christianity,Protestant,18016
2000,North America,St. Lucia,SLU,Christianity,Protestant,33880
2005,North America,St. Lucia,SLU,Christianity,Protestant,38998
2010,North America,St. Lucia,SLU,Christianity,Protestant,44116
1980,North America,St. Vincent and the Grenadines,SVG,Christianity,Protestant,20140
1985,North America,St. Vincent and the Grenadines,SVG,Christianity,Protestant,21000
1990,North America,St. Vincent and the Grenadines,SVG,Christianity,Protestant,31100
1995,North America,St. Vincent and the Grenadines,SVG,Christianity,Protestant,31510
2000,North America,St. Vincent and the Grenadines,SVG,Christianity,Protestant,51744
2005,North America,St. Vincent and the Grenadines,SVG,Christianity,Protestant,40016
2010,North America,St. Vincent and the Grenadines,SVG,Christianity,Protestant,28288
1980,North America,Antigua & Barbuda,AAB,Christianity,Protestant,23300
1985,North America,Antigua & Barbuda,AAB,Christianity,Protestant,22000
1990,North America,Antigua & Barbuda,AAB,Christianity,Protestant,27334
1995,North America,Antigua & Barbuda,AAB,Christianity,Protestant,30431
2000,North America,Antigua & Barbuda,AAB,Christianity,Protestant,33528
2005,North America,Antigua & Barbuda,AAB,Christianity,Protestant,38619
2010,North America,Antigua & Barbuda,AAB,Christianity,Protestant,43710
1985,North America,St. Kitts and Nevis,SKN,Christianity,Protestant,22450
1990,North America,St. Kitts and Nevis,SKN,Christianity,Protestant,18630
1995,North America,St. Kitts and Nevis,SKN,Christianity,Protestant,20803
2000,North America,St. Kitts and Nevis,SKN,Christianity,Protestant,22977
2005,North America,St. Kitts and Nevis,SKN,Christianity,Protestant,15238
2010,North America,St. Kitts and Nevis,SKN,Christianity,Protestant,7500
1945,North America,Mexico,MEX,Christianity,Protestant,222300
1950,North America,Mexico,MEX,Christianity,Protestant,330111
1955,North America,Mexico,MEX,Christianity,Protestant,330000
1960,North America,Mexico,MEX,Christianity,Protestant,400000
1965,North America,Mexico,MEX,Christianity,Protestant,600000
1970,North America,Mexico,MEX,Christianity,Protestant,876879
1975,North America,Mexico,MEX,Christianity,Protestant,1171228
1980,North America,Mexico,MEX,Christianity,Protestant,1189400
1985,North America,Mexico,MEX,Christianity,Protestant,1189400
1990,North America,Mexico,MEX,Christianity,Protestant,2600000
1995,North America,Mexico,MEX,Christianity,Protestant,2727296
2000,North America,Mexico,MEX,Christianity,Protestant,2854592
2005,North America,Mexico,MEX,Christianity,Protestant,3917977
2010,North America,Mexico,MEX,Christianity,Protestant,15886801
1980,North America,Belize,BLZ,Christianity,Protestant,21700
1985,North America,Belize,BLZ,Christianity,Protestant,22500
1990,North America,Belize,BLZ,Christianity,Protestant,29500
1995,North America,Belize,BLZ,Christianity,Protestant,34500
2000,North America,Belize,BLZ,Christianity,Protestant,58684
2005,North America,Belize,BLZ,Christianity,Protestant,69756
2010,North America,Belize,BLZ,Christianity,Protestant,80829
1945,North America,Guatemala,GUA,Christianity,Protestant,72000
1950,North America,Guatemala,GUA,Christianity,Protestant,78000
1955,North America,Guatemala,GUA,Christianity,Protestant,79000
1960,North America,Guatemala,GUA,Christianity,Protestant,150000
1965,North America,Guatemala,GUA,Christianity,Protestant,104000
1970,North America,Guatemala,GUA,Christianity,Protestant,269594
1975,North America,Guatemala,GUA,Christianity,Protestant,369097
1980,North America,Guatemala,GUA,Christianity,Protestant,468600
1985,North America,Guatemala,GUA,Christianity,Protestant,764300
1990,North America,Guatemala,GUA,Christianity,Protestant,1060000
1995,North America,Guatemala,GUA,Christianity,Protestant,1296000
2000,North America,Guatemala,GUA,Christianity,Protestant,1593900
2005,North America,Guatemala,GUA,Christianity,Protestant,5080400
2010,North America,Guatemala,GUA,Christianity,Protestant,5529785
1945,North America,Honduras,HON,Christianity,Protestant,23305
1950,North America,Honduras,HON,Christianity,Protestant,27000
1955,North America,Honduras,HON,Christianity,Protestant,31000
1960,North America,Honduras,HON,Christianity,Protestant,35000
1965,North America,Honduras,HON,Christianity,Protestant,42000
1970,North America,Honduras,HON,Christianity,Protestant,61889
1975,North America,Honduras,HON,Christianity,Protestant,84144
1980,North America,Honduras,HON,Christianity,Protestant,106400
1985,North America,Honduras,HON,Christianity,Protestant,139000
1990,North America,Honduras,HON,Christianity,Protestant,166850
1995,North America,Honduras,HON,Christianity,Protestant,378425
2000,North America,Honduras,HON,Christianity,Protestant,590000
2005,North America,Honduras,HON,Christianity,Protestant,690000
2010,North America,Honduras,HON,Christianity,Protestant,2560652
1945,North America,El Salvador,SAL,Christianity,Protestant,0
1950,North America,El Salvador,SAL,Christianity,Protestant,0
1955,North America,El Salvador,SAL,Christianity,Protestant,0
1960,North America,El Salvador,SAL,Christianity,Protestant,0
1965,North America,El Salvador,SAL,Christianity,Protestant,75000
1970,North America,El Salvador,SAL,Christianity,Protestant,149197
1975,North America,El Salvador,SAL,Christianity,Protestant,180498
1980,North America,El Salvador,SAL,Christianity,Protestant,211800
1985,North America,El Salvador,SAL,Christianity,Protestant,169960
1990,North America,El Salvador,SAL,Christianity,Protestant,200000
1995,North America,El Salvador,SAL,Christianity,Protestant,413800
2000,North America,El Salvador,SAL,Christianity,Protestant,627600
2005,North America,El Salvador,SAL,Christianity,Protestant,1151460
2010,North America,El Salvador,SAL,Christianity,Protestant,1990591
1945,North America,Nicaragua,NIC,Christianity,Protestant,39024
1950,North America,Nicaragua,NIC,Christianity,Protestant,40000
1955,North America,Nicaragua,NIC,Christianity,Protestant,41000
1960,North America,Nicaragua,NIC,Christianity,Protestant,42000
1965,North America,Nicaragua,NIC,Christianity,Protestant,54100
1970,North America,Nicaragua,NIC,Christianity,Protestant,118138
1975,North America,Nicaragua,NIC,Christianity,Protestant,174069
1980,North America,Nicaragua,NIC,Christianity,Protestant,230000
1985,North America,Nicaragua,NIC,Christianity,Protestant,250000
1990,North America,Nicaragua,NIC,Christianity,Protestant,435000
1995,North America,Nicaragua,NIC,Christianity,Protestant,512500
2000,North America,Nicaragua,NIC,Christianity,Protestant,590000
2005,North America,Nicaragua,NIC,Christianity,Protestant,1264400
2010,North America,Nicaragua,NIC,Christianity,Protestant,1350661
1945,North America,Costa Rica,COS,Christianity,Protestant,0
1950,North America,Costa Rica,COS,Christianity,Protestant,0
1955,North America,Costa Rica,COS,Christianity,Protestant,0
1960,North America,Costa Rica,COS,Christianity,Protestant,0
1965,North America,Costa Rica,COS,Christianity,Protestant,40000
1970,North America,Costa Rica,COS,Christianity,Protestant,48874
1975,North America,Costa Rica,COS,Christianity,Protestant,59887
1980,North America,Costa Rica,COS,Christianity,Protestant,70900
1985,North America,Costa Rica,COS,Christianity,Protestant,48000
1990,North America,Costa Rica,COS,Christianity,Protestant,99000
1995,North America,Costa Rica,COS,Christianity,Protestant,170000
2000,North America,Costa Rica,COS,Christianity,Protestant,310000
2005,North America,Costa Rica,COS,Christianity,Protestant,472368
2010,North America,Costa Rica,COS,Christianity,Protestant,453444
1945,North America,Panama,PAN,Christianity,Protestant,42600
1950,North America,Panama,PAN,Christianity,Protestant,48000
1955,North America,Panama,PAN,Christianity,Protestant,47300
1960,North America,Panama,PAN,Christianity,Protestant,55000
1965,North America,Panama,PAN,Christianity,Protestant,69500
1970,North America,Panama,PAN,Christianity,Protestant,84001
1975,North America,Panama,PAN,Christianity,Protestant,103380
1980,North America,Panama,PAN,Christianity,Protestant,129400
1985,North America,Panama,PAN,Christianity,Protestant,122280
1990,North America,Panama,PAN,Christianity,Protestant,280000
1995,North America,Panama,PAN,Christianity,Protestant,184170
2000,North America,Panama,PAN,Christianity,Protestant,420000
2005,North America,Panama,PAN,Christianity,Protestant,611040
2010,North America,Panama,PAN,Christianity,Protestant,805444
1945,South America,Colombia,COL,Christianity,Protestant,40000
1950,South America,Colombia,COL,Christianity,Protestant,60000
1955,South America,Colombia,COL,Christianity,Protestant,90000
1960,South America,Colombia,COL,Christianity,Protestant,66666
1965,South America,Colombia,COL,Christianity,Protestant,90000
1970,South America,Colombia,COL,Christianity,Protestant,202635
1975,South America,Colombia,COL,Christianity,Protestant,200000
1980,South America,Colombia,COL,Christianity,Protestant,235000
1985,South America,Colombia,COL,Christianity,Protestant,280000
1990,South America,Colombia,COL,Christianity,Protestant,340000
1995,South America,Colombia,COL,Christianity,Protestant,412857
2000,South America,Colombia,COL,Christianity,Protestant,5713335
2005,South America,Colombia,COL,Christianity,Protestant,6433350
2010,South America,Colombia,COL,Christianity,Protestant,6944250
1945,South America,Venezuela,VEN,Christianity,Protestant,0
1950,South America,Venezuela,VEN,Christianity,Protestant,0
1955,South America,Venezuela,VEN,Christianity,Protestant,14000
1960,South America,Venezuela,VEN,Christianity,Protestant,20000
1965,South America,Venezuela,VEN,Christianity,Protestant,20000
1970,South America,Venezuela,VEN,Christianity,Protestant,84593
1975,South America,Venezuela,VEN,Christianity,Protestant,179900
1980,South America,Venezuela,VEN,Christianity,Protestant,275206
1985,South America,Venezuela,VEN,Christianity,Protestant,230946
1990,South America,Venezuela,VEN,Christianity,Protestant,280000
1995,South America,Venezuela,VEN,Christianity,Protestant,218440
2000,South America,Venezuela,VEN,Christianity,Protestant,3625500
2005,South America,Venezuela,VEN,Christianity,Protestant,3975300
2010,South America,Venezuela,VEN,Christianity,Protestant,4325100
1970,South America,Guyana,GUY,Christianity,Protestant,94435
1975,South America,Guyana,GUY,Christianity,Protestant,99135
1980,South America,Guyana,GUY,Christianity,Protestant,100100
1985,South America,Guyana,GUY,Christianity,Protestant,122000
1990,South America,Guyana,GUY,Christianity,Protestant,102240
1995,South America,Guyana,GUY,Christianity,Protestant,143745
2000,South America,Guyana,GUY,Christianity,Protestant,185250
2005,South America,Guyana,GUY,Christianity,Protestant,189500
2010,South America,Guyana,GUY,Christianity,Protestant,191875
1975,South America,Suriname,SUR,Christianity,Protestant,84339
1980,South America,Suriname,SUR,Christianity,Protestant,85900
1985,South America,Suriname,SUR,Christianity,Protestant,88000
1990,South America,Suriname,SUR,Christianity,Protestant,98750
1995,South America,Suriname,SUR,Christianity,Protestant,99725
2000,South America,Suriname,SUR,Christianity,Protestant,112000
2005,South America,Suriname,SUR,Christianity,Protestant,120748
2010,South America,Suriname,SUR,Christianity,Protestant,142632
1945,South America,Ecuador,ECU,Christianity,Protestant,0
1950,South America,Ecuador,ECU,Christianity,Protestant,0
1955,South America,Ecuador,ECU,Christianity,Protestant,0
1960,South America,Ecuador,ECU,Christianity,Protestant,0
1965,South America,Ecuador,ECU,Christianity,Protestant,19200
1970,South America,Ecuador,ECU,Christianity,Protestant,72190
1975,South America,Ecuador,ECU,Christianity,Protestant,79070
1980,South America,Ecuador,ECU,Christianity,Protestant,82333
1985,South America,Ecuador,ECU,Christianity,Protestant,85000
1990,South America,Ecuador,ECU,Christianity,Protestant,105000
1995,South America,Ecuador,ECU,Christianity,Protestant,115000
2000,South America,Ecuador,ECU,Christianity,Protestant,345000
2005,South America,Ecuador,ECU,Christianity,Protestant,314591
2010,South America,Ecuador,ECU,Christianity,Protestant,284183
1945,South America,Peru,PER,Christianity,Protestant,0
1950,South America,Peru,PER,Christianity,Protestant,0
1955,South America,Peru,PER,Christianity,Protestant,0
1960,South America,Peru,PER,Christianity,Protestant,0
1965,South America,Peru,PER,Christianity,Protestant,128000
1970,South America,Peru,PER,Christianity,Protestant,190496
1975,South America,Peru,PER,Christianity,Protestant,150000
1980,South America,Peru,PER,Christianity,Protestant,255500
1985,South America,Peru,PER,Christianity,Protestant,292380
1990,South America,Peru,PER,Christianity,Protestant,852000
1995,South America,Peru,PER,Christianity,Protestant,961000
2000,South America,Peru,PER,Christianity,Protestant,3002454
2005,South America,Peru,PER,Christianity,Protestant,3059210
2010,South America,Peru,PER,Christianity,Protestant,3675330
1945,South America,Brazil,BRA,Christianity,Protestant,1523643
1950,South America,Brazil,BRA,Christianity,Protestant,1305857
1955,South America,Brazil,BRA,Christianity,Protestant,1741430
1960,South America,Brazil,BRA,Christianity,Protestant,4280870
1965,South America,Brazil,BRA,Christianity,Protestant,2309968
1970,South America,Brazil,BRA,Christianity,Protestant,6020237
1975,South America,Brazil,BRA,Christianity,Protestant,6985118
1980,South America,Brazil,BRA,Christianity,Protestant,7950000
1985,South America,Brazil,BRA,Christianity,Protestant,8269000
1990,South America,Brazil,BRA,Christianity,Protestant,12804925
1995,South America,Brazil,BRA,Christianity,Protestant,21476243
2000,South America,Brazil,BRA,Christianity,Protestant,26197710
2005,South America,Brazil,BRA,Christianity,Protestant,38660132
2010,South America,Brazil,BRA,Christianity,Protestant,51122554
1945,South America,Bolivia,BOL,Christianity,Protestant,57000
1950,South America,Bolivia,BOL,Christianity,Protestant,54280
1955,South America,Bolivia,BOL,Christianity,Protestant,15500
1960,South America,Bolivia,BOL,Christianity,Protestant,16755
1965,South America,Bolivia,BOL,Christianity,Protestant,18740
1970,South America,Bolivia,BOL,Christianity,Protestant,21060
1975,South America,Bolivia,BOL,Christianity,Protestant,149530
1980,South America,Bolivia,BOL,Christianity,Protestant,278000
1985,South America,Bolivia,BOL,Christianity,Protestant,305000
1990,South America,Bolivia,BOL,Christianity,Protestant,400000
1995,South America,Bolivia,BOL,Christianity,Protestant,450000
2000,South America,Bolivia,BOL,Christianity,Protestant,1241021
2005,South America,Bolivia,BOL,Christianity,Protestant,581350
2010,South America,Bolivia,BOL,Christianity,Protestant,1373600
1945,South America,Paraguay,PAR,Christianity,Protestant,21187
1950,South America,Paraguay,PAR,Christianity,Protestant,26070
1955,South America,Paraguay,PAR,Christianity,Protestant,32080
1960,South America,Paraguay,PAR,Christianity,Protestant,28540
1965,South America,Paraguay,PAR,Christianity,Protestant,25000
1970,South America,Paraguay,PAR,Christianity,Protestant,47000
1975,South America,Paraguay,PAR,Christianity,Protestant,55050
1980,South America,Paraguay,PAR,Christianity,Protestant,63100
1985,South America,Paraguay,PAR,Christianity,Protestant,67000
1990,South America,Paraguay,PAR,Christianity,Protestant,83446
1995,South America,Paraguay,PAR,Christianity,Protestant,103928
2000,South America,Paraguay,PAR,Christianity,Protestant,274800
2005,South America,Paraguay,PAR,Christianity,Protestant,442425
2010,South America,Paraguay,PAR,Christianity,Protestant,258212
1945,South America,Chile,CHL,Christianity,Protestant,177500
1950,South America,Chile,CHL,Christianity,Protestant,241000
1955,South America,Chile,CHL,Christianity,Protestant,242928
1960,South America,Chile,CHL,Christianity,Protestant,245500
1965,South America,Chile,CHL,Christianity,Protestant,320000
1970,South America,Chile,CHL,Christianity,Protestant,200953
1975,South America,Chile,CHL,Christianity,Protestant,250000
1980,South America,Chile,CHL,Christianity,Protestant,279100
1985,South America,Chile,CHL,Christianity,Protestant,625000
1990,South America,Chile,CHL,Christianity,Protestant,882500
1995,South America,Chile,CHL,Christianity,Protestant,1563100
2000,South America,Chile,CHL,Christianity,Protestant,1321736
2005,South America,Chile,CHL,Christianity,Protestant,2456317
2010,South America,Chile,CHL,Christianity,Protestant,1811913
1945,South America,Argentina,ARG,Christianity,Protestant,310266
1950,South America,Argentina,ARG,Christianity,Protestant,311000
1955,South America,Argentina,ARG,Christianity,Protestant,251000
1960,South America,Argentina,ARG,Christianity,Protestant,214000
1965,South America,Argentina,ARG,Christianity,Protestant,395068
1970,South America,Argentina,ARG,Christianity,Protestant,576136
1975,South America,Argentina,ARG,Christianity,Protestant,520980
1980,South America,Argentina,ARG,Christianity,Protestant,665760
1985,South America,Argentina,ARG,Christianity,Protestant,404046
1990,South America,Argentina,ARG,Christianity,Protestant,635760
1995,South America,Argentina,ARG,Christianity,Protestant,695360
2000,South America,Argentina,ARG,Christianity,Protestant,3332880
2005,South America,Argentina,ARG,Christianity,Protestant,2315520
2010,South America,Argentina,ARG,Christianity,Protestant,4039999
1945,South America,Uruguay,URU,Christianity,Protestant,45000
1950,South America,Uruguay,URU,Christianity,Protestant,43920
1955,South America,Uruguay,URU,Christianity,Protestant,26960
1960,South America,Uruguay,URU,Christianity,Protestant,10000
1965,South America,Uruguay,URU,Christianity,Protestant,32500
1970,South America,Uruguay,URU,Christianity,Protestant,57053
1975,South America,Uruguay,URU,Christianity,Protestant,47529
1980,South America,Uruguay,URU,Christianity,Protestant,38005
1985,South America,Uruguay,URU,Christianity,Protestant,90240
1990,South America,Uruguay,URU,Christianity,Protestant,96000
1995,South America,Uruguay,URU,Christianity,Protestant,83720
2000,South America,Uruguay,URU,Christianity,Protestant,95000
2005,South America,Uruguay,URU,Christianity,Protestant,363660
2010,South America,Uruguay,URU,Christianity,Protestant,369234
1945,Europe,United Kingdom,UKG,Christianity,Protestant,10306954
1950,Europe,United Kingdom,UKG,Christianity,Protestant,10000000
1955,Europe,United Kingdom,UKG,Christianity,Protestant,9227777
1960,Europe,United Kingdom,UKG,Christianity,Protestant,8655555
1965,Europe,United Kingdom,UKG,Christianity,Protestant,8283332
1970,Europe,United Kingdom,UKG,Christianity,Protestant,7711109
1975,Europe,United Kingdom,UKG,Christianity,Protestant,7082082
1980,Europe,United Kingdom,UKG,Christianity,Protestant,6453055
1985,Europe,United Kingdom,UKG,Christianity,Protestant,5824027
1990,Europe,United Kingdom,UKG,Christianity,Protestant,5195000
1995,Europe,United Kingdom,UKG,Christianity,Protestant,4950700
2000,Europe,United Kingdom,UKG,Christianity,Protestant,4512000
2005,Europe,United Kingdom,UKG,Christianity,Protestant,4800000
2010,Europe,United Kingdom,UKG,Christianity,Protestant,4525200
1945,Europe,Ireland,IRE,Christianity,Protestant,32225
1950,Europe,Ireland,IRE,Christianity,Protestant,40675
1955,Europe,Ireland,IRE,Christianity,Protestant,37188
1960,Europe,Ireland,IRE,Christianity,Protestant,25629
1965,Europe,Ireland,IRE,Christianity,Protestant,30214
1970,Europe,Ireland,IRE,Christianity,Protestant,21698
1975,Europe,Ireland,IRE,Christianity,Protestant,26907
1980,Europe,Ireland,IRE,Christianity,Protestant,32116
1985,Europe,Ireland,IRE,Christianity,Protestant,25176
1990,Europe,Ireland,IRE,Christianity,Protestant,18236
1995,Europe,Ireland,IRE,Christianity,Protestant,40200
2000,Europe,Ireland,IRE,Christianity,Protestant,30213
2005,Europe,Ireland,IRE,Christianity,Protestant,35113
2010,Europe,Ireland,IRE,Christianity,Protestant,31442
1955,Europe,Netherlands,NTH,Christianity,Protestant,4530109
1960,Europe,Netherlands,NTH,Christianity,Protestant,4583913
1965,Europe,Netherlands,NTH,Christianity,Protestant,4637716
1970,Europe,Netherlands,NTH,Christianity,Protestant,4691520
1975,Europe,Netherlands,NTH,Christianity,Protestant,4583310
1980,Europe,Netherlands,NTH,Christianity,Protestant,4475100
1985,Europe,Netherlands,NTH,Christianity,Protestant,4277550
1990,Europe,Netherlands,NTH,Christianity,Protestant,4080000
1995,Europe,Netherlands,NTH,Christianity,Protestant,3679481
2000,Europe,Netherlands,NTH,Christianity,Protestant,3200000
2005,Europe,Netherlands,NTH,Christianity,Protestant,3132846
2010,Europe,Netherlands,NTH,Christianity,Protestant,2824128
1945,Europe,Belgium,BEL,Christianity,Protestant,21904
1950,Europe,Belgium,BEL,Christianity,Protestant,35074
1955,Europe,Belgium,BEL,Christianity,Protestant,45618
1960,Europe,Belgium,BEL,Christianity,Protestant,56161
1965,Europe,Belgium,BEL,Christianity,Protestant,62705
1970,Europe,Belgium,BEL,Christianity,Protestant,77248
1975,Europe,Belgium,BEL,Christianity,Protestant,111424
1980,Europe,Belgium,BEL,Christianity,Protestant,145600
1985,Europe,Belgium,BEL,Christianity,Protestant,131300
1990,Europe,Belgium,BEL,Christianity,Protestant,117000
1995,Europe,Belgium,BEL,Christianity,Protestant,100840
2000,Europe,Belgium,BEL,Christianity,Protestant,95000
2005,Europe,Belgium,BEL,Christianity,Protestant,132000
2010,Europe,Belgium,BEL,Christianity,Protestant,108763
1945,Europe,Luxembourg,LUX,Christianity,Protestant,2503
1950,Europe,Luxembourg,LUX,Christianity,Protestant,4410
1955,Europe,Luxembourg,LUX,Christianity,Protestant,4986
1960,Europe,Luxembourg,LUX,Christianity,Protestant,5561
1965,Europe,Luxembourg,LUX,Christianity,Protestant,6137
1970,Europe,Luxembourg,LUX,Christianity,Protestant,6712
1975,Europe,Luxembourg,LUX,Christianity,Protestant,6834
1980,Europe,Luxembourg,LUX,Christianity,Protestant,6956
1985,Europe,Luxembourg,LUX,Christianity,Protestant,7078
1990,Europe,Luxembourg,LUX,Christianity,Protestant,7200
1995,Europe,Luxembourg,LUX,Christianity,Protestant,7910
2000,Europe,Luxembourg,LUX,Christianity,Protestant,8000
